"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"9841","LOC105677122","gene11116","autophagy-related protein 9A",2847.66666666667
"2941","LOC105670223","gene4867","kin of IRRE-like protein 3",1430
"7737","LOC105675018","gene9239","synaptic vesicle glycoprotein 2B-like",2351.5
"2113","LOC105669395","gene4086","transcription factor kayak",2456.66666666667
"10247","LOC105677528","gene11567","uncharacterized LOC105677528",2670
"7006","LOC105674288","gene8550","origin recognition complex subunit 3",2188
"1815","LOC105669097","gene3806","uncharacterized protein KIAA0930 homolog",2608
"3382","LOC105670664","gene5233","protein asunder homolog",5421
"6780","LOC105674062","gene8338","uncharacterized LOC105674062",3459
"1054","LOC105668336","gene3255","cysteine--tRNA ligase, cytoplasmic",2481.66666666667
"5782","LOC105673064","gene7444","cytochrome P450 315a1, mitochondrial",2370.66666666667
"5779","LOC105673061","gene7445","armadillo repeat-containing protein 5",3000
"6291","LOC105673573","gene7818","venom metalloproteinase 3",3483.5
"60","LOC105667342","gene2220","DNA topoisomerase 3-beta-1",2783
"1807","LOC105669089","gene3825","nucleolar protein 58",2018
"11323","LOC105678604","gene12481","translation elongation factor 2",2909
"5439","LOC105672721","gene66","",119
"11986","LOC105679267","gene13054","tRNA-dihydrouridine(16/17) synthase [NAD(P)( )]-like",2098
"10743","LOC105678024","gene11956","uncharacterized LOC105678024",2874.5
"5159","LOC105672441","gene7046","dopamine receptor 1",2712.4
"11520","LOC105678801","gene12545","uncharacterized LOC105678801",4115
"5170","LOC105672452","gene7033","serine protease HTRA2, mitochondrial",1980.66666666667
"10098","LOC105677379","gene11547","EF-hand domain-containing protein 1-like",2583
"370","LOC105667652","gene2514","acid sphingomyelinase-like phosphodiesterase 3a",3635
"8109","LOC105675390","gene9583","protein SERAC1",2416
"1514","LOC105668796","gene386","leukocyte receptor cluster member 8 homolog",4187.5
"3348","LOC105670630","gene5214","LIM/homeobox protein Awh",6418.66666666667
"10063","LOC105677344","gene11329","tyrosine-protein kinase Dnt-like",3429
"12444","LOC105679725","gene1830","armadillo repeat-containing protein 4",4142
"8455","LOC105675736","gene9910","uncharacterized LOC105675736",960
"5560","LOC105672842","gene7238","uncharacterized LOC105672842",3100
"9108","LOC105676389","gene10673","poly [ADP-ribose] polymerase",3386
"2418","LOC105669700","gene4354","heat shock protein 83-like",2477
"3068","LOC105670350","gene4976","ATP-dependent RNA helicase dbp2-like",2132
"3076","LOC105670358","gene5002","sodium-coupled monocarboxylate transporter 1-like",2337
"11883","LOC105679164","gene13034","uncharacterized LOC105679164",2685
"11468","LOC105678749","gene12563","facilitated trehalose transporter Tret1-like",2776.8
"11579","LOC105678860","gene12566","cullin-2",2934.6
"12322","LOC105679603","gene1651","zinc finger CCCH domain-containing protein 18-like",4140.83333333333
"3947","LOC105671229","gene5802","nitric oxide-associated protein 1",2708
"7079","LOC105674361","gene8716","dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit",1737
"6473","LOC105673755","gene8046","zinc finger protein 341-like",2746
"10306","LOC105677587","gene11522","nucleolar complex protein 4 homolog B",2832
"2777","LOC105670059","gene513","probable serine/threonine-protein kinase kinX",3252
"7560","LOC105674841","gene9020","dual oxidase maturation factor 1",1967.5
"1349","LOC105668631","gene3396","uncharacterized LOC105668631",2771.25
"2715","LOC105669997","gene4709","RING finger protein 121",1728
"11854","LOC105679135","gene13012","major facilitator superfamily domain-containing protein 1-like",2238
"8044","LOC105675325","gene982","transcription cofactor vestigial-like protein 4",1648.66666666667
"7917","LOC105675198","gene980","cyclin-G-associated kinase",4061
"12299","LOC105679580","gene1638","uncharacterized LOC105679580",4801.5
"1055","LOC105668337","gene3258","uncharacterized LOC105668337",3178
"2629","LOC105669911","gene4570","probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",1942
"12693","LOC105679974","gene2013","uncharacterized LOC105679974",3265
"4295","LOC105671577","gene6081","spermatogenesis-associated protein 5",2698
"4275","LOC105671557","gene6083","probable isoleucine--tRNA ligase, cytoplasmic",4503
